NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",MB,DO,Bus,"14,305,994 ","15,246,592 ","16,041,311 ","17,388,641 ","18,340,087 ","19,652,583 ","20,801,544 ","19,023,013 ","20,157,816 ","22,493,659 ","23,154,373 ","23,175,650 ","21,958,316 ","19,933,096 ","18,883,712 ","16,723,866 ","7,282,309 ",0 ,0 ,0 ,0 ,0 
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",MB,PT,Bus,"88,341 ","128,811 ","164,234 ","159,337 ","174,436 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"7,646,271 ","14,516,464 ","7,791,536 ","7,128,791 ","7,729,763 ","5,320,462 "
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",SR,DO,Rail,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"260,649 ","464,409 ","464,008 ","307,325 ","111,603 ",0 ,"131,058 ","500,960 ","364,611 "
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",TB,DO,Bus,0 ,0 ,"139,660 ","289,633 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40008,4008,City of Charlotte North Carolina,Active,Full Reporter: Operating,15670,"Charlotte, NC--SC",VP,DO,Bus,"298,107 ","189,930 ","182,379 ","198,972 ","235,056 ","236,676 ","255,432 ","243,564 ","220,536 ","234,450 ","260,084 ","261,248 ","253,503 ","213,828 ","154,841 ","143,126 ","122,573 ","105,548 ","53,921 ","35,428 ","43,332 ","30,508 "
40009,4009,City of Fayetteville,Active,Full Reporter: Operating,29440,"Fayetteville, NC",DR,DO,Bus,0 ,"44,287 ","43,366 ","37,007 ","45,820 ","38,750 ","35,954 ","39,654 ","43,787 ","47,995 ","54,116 ","53,658 ","57,195 ","61,205 ","61,083 ","63,281 ","62,370 ","69,725 ","49,353 ","51,062 ","60,219 ","33,446 "
40009,4009,City of Fayetteville,Active,Full Reporter: Operating,29440,"Fayetteville, NC",DR,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"6,756 ","7,199 ","2,091 "
40009,4009,City of Fayetteville,Active,Full Reporter: Operating,29440,"Fayetteville, NC",MB,DO,Bus,0 ,"1,257,203 ","1,289,877 ","971,545 ","1,238,462 ","922,461 ","957,198 ","1,042,219 ","1,254,506 ","1,522,935 ","1,708,964 ","1,635,462 ","1,602,421 ","1,546,170 ","1,480,037 ","1,401,092 ","1,388,615 ","1,712,059 ","1,725,536 ","1,621,791 ","1,903,222 ","1,111,582 "
40009,4009,City of Fayetteville,Active,Full Reporter: Operating,29440,"Fayetteville, NC",MB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,872 ,"7,463 ",0 ,0 ,0 ,0 ,0 ,0 ,0 
40011,4011,City of High Point,Inactive,Small Systems Reporter,38809,"High Point, NC",DR,DO,Bus,"21,929 ","22,112 ","19,298 ","19,227 ","21,552 ","21,607 ","21,660 ","16,347 ","14,481 ","15,787 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40011,4011,City of High Point,Inactive,Small Systems Reporter,38809,"High Point, NC",DR,PT,Bus,"17,089 ","16,932 ","16,862 ","16,399 ","16,730 ","16,488 ","18,170 ","16,901 ","15,078 ","12,867 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40011,4011,City of High Point,Inactive,Small Systems Reporter,38809,"High Point, NC",MB,DO,Bus,"602,736 ","549,125 ","624,052 ","697,030 ","724,142 ","740,533 ","795,035 ","759,893 ","804,809 ","858,549 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40012,4012,City of Winston Salem,Active,Full Reporter: Operating,96670,"Winston-Salem, NC",DR,DO,Bus,"77,235 ",0 ,0 ,"123,103 ","124,383 ","136,222 ","115,716 ","131,499 ","126,136 ","146,013 ","166,478 ","163,950 ","179,694 ","200,511 ","211,724 ","219,240 ","213,213 ","232,216 ","158,770 ","159,919 ","156,991 ","109,536 "
40012,4012,City of Winston Salem,Active,Full Reporter: Operating,96670,"Winston-Salem, NC",MB,DO,Bus,0 ,0 ,0 ,"2,788,022 ","2,767,027 ","2,706,036 ","2,972,018 ","2,780,425 ","3,008,314 ","3,372,590 ","3,390,917 ","3,312,205 ","3,310,443 ","3,096,627 ","2,884,416 ","2,293,384 ","2,408,409 ","2,512,979 ","1,923,873 ","1,460,610 ","1,479,727 ","1,040,077 "
40014,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,35920,"Gulfport--Biloxi, MS",DR,DO,Bus,"45,771 ","103,861 ","80,502 ","60,868 ","48,841 ","50,989 ","51,258 ","54,475 ","64,592 ","66,105 ","60,670 ","51,884 ","50,369 ","47,350 ","45,588 ","46,203 ","47,336 ","44,273 ","25,036 ","34,710 ","58,124 ","52,320 "
40014,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,35920,"Gulfport--Biloxi, MS",MB,DO,Bus,"197,563 ","543,873 ","533,834 ","457,029 ","358,507 ","501,463 ","640,078 ","707,066 ","750,328 ","799,424 ","867,926 ","913,790 ","777,659 ","669,248 ","825,919 ","688,358 ","670,959 ","674,248 ","374,987 ","471,222 ","559,622 ","396,476 "
40014,4014,Ms Coast Transportation Authority,Active,Full Reporter: Operating,35920,"Gulfport--Biloxi, MS",VP,PT,Bus,0 ,0 ,0 ,0 ,0 ,"10,305 ","74,775 ","114,795 ","146,493 ","183,308 ","175,218 ","164,615 ","158,065 ","150,519 ","128,416 ","106,024 ","101,149 ","100,064 ","48,438 ","45,373 ","68,085 ","51,860 "
40015,4015,"City of Jackson, MS",Active,Full Reporter: Operating,42211,"Jackson, MS",DR,DO,Bus,"10,075 ",0 ,"36,053 ",0 ,0 ,"32,435 ","29,495 ","24,820 ","26,701 ","24,979 ","30,897 ","37,576 ","26,849 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40015,4015,"City of Jackson, MS",Active,Full Reporter: Operating,42211,"Jackson, MS",DR,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"9,156 ","36,224 ","44,639 ","43,624 ","44,371 ","46,975 ","40,984 ","47,964 ","50,744 ","40,996 "
40015,4015,"City of Jackson, MS",Active,Full Reporter: Operating,42211,"Jackson, MS",MB,DO,Bus,"208,519 ",0 ,"783,711 ",0 ,0 ,"748,645 ","567,242 ","516,721 ","496,443 ","568,628 ","675,472 ","681,974 ","463,129 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40015,4015,"City of Jackson, MS",Active,Full Reporter: Operating,42211,"Jackson, MS",MB,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"154,528 ","550,545 ","447,810 ","488,661 ","506,573 ","528,729 ","446,249 ","442,088 ","342,913 ","265,628 "
40017,4017,Lexington Transit Authority,Active,Full Reporter: Operating,49582,"Lexington-Fayette, KY",DR,PT,Bus,"85,381 ","93,010 ","97,809 ","106,456 ","120,890 ","132,634 ","146,598 ","146,975 ","159,034 ","164,958 ","165,055 ","183,285 ","191,057 ","193,734 ","198,762 ","206,500 ","222,569 ","231,800 ","166,851 ","168,172 ","164,579 ","101,607 "
40017,4017,Lexington Transit Authority,Active,Full Reporter: Operating,49582,"Lexington-Fayette, KY",DR,TX,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,269 ,"16,518 ","1,380 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
40017,4017,Lexington Transit Authority,Active,Full Reporter: Operating,49582,"Lexington-Fayette, KY",MB,DO,Bus,"3,626,070 ","3,240,300 ","2,832,948 ","2,946,238 ","4,681,840 ","5,388,593 ","5,540,401 ","5,626,046 ","6,361,528 ","5,276,889 ","5,019,458 ","4,907,686 ","4,321,340 ","3,743,982 ","3,930,523 ","4,157,008 ","4,163,076 ","4,404,413 ","2,719,343 ","2,540,319 ","3,111,831 ","2,315,991 "
40017,4017,Lexington Transit Authority,Active,Full Reporter: Operating,49582,"Lexington-Fayette, KY",VP,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"19,847 ","49,414 ","40,392 ","28,786 ","25,571 ","23,614 ","18,874 ","7,586 ","8,846 ","27,985 ","43,944 "
40018,4018,Transit Authority of River City,Active,Full Reporter: Operating,51755,"Louisville/Jefferson County, KY--IN",DR,DO,Bus,"41,575 ","39,838 ","25,077 ","17,308 ","19,693 ","17,250 ","17,470 ","13,902 ","11,588 ","10,801 ","9,808 ","9,129 ","7,835 ","5,483 ","2,969 ","2,680 ","1,841 ",98 ,0 ,0 ,0 ,0 
40018,4018,Transit Authority of River City,Active,Full Reporter: Operating,51755,"Louisville/Jefferson County, KY--IN",DR,PT,Bus,"300,465 ","299,541 ","317,001 ","314,740 ","87,490 ","100,925 ","118,366 ","132,397 ","377,554 ","364,161 ","358,937 ","361,573 ","396,380 ","386,619 ","375,721 ","390,690 ","361,930 ","359,723 ","158,177 ","110,258 ","162,872 ","154,914 "
40018,4018,Transit Authority of River City,Active,Full Reporter: Operating,51755,"Louisville/Jefferson County, KY--IN",DR,TX,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"57,839 ","111,773 ","132,440 ","133,405 ","166,828 ","190,195 ","211,441 ","253,798 ","258,621 ","178,994 ","209,193 ","173,476 ","94,641 "
