"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Carroll,"52,526","54,851","60,290",26,4.4,9.9,44,IA
Cass,"47,870","50,517","55,056",61,5.5,9.0,54,IA
Cedar,"54,246","56,933","63,197",10,5.0,11.0,36,IA
Cerro Gordo,"50,012","53,478","56,955",52,6.9,6.5,86,IA
Cherokee,"55,059","56,063","61,661",19,1.8,10.0,43,IA
Chickasaw,"55,454","58,687","64,737",7,5.8,10.3,38,IA
Clarke,"39,227","42,923","45,292",96,9.4,5.5,92,IA
Clay,"50,798","54,344","59,187",31,7.0,8.9,57,IA
Clayton,"51,664","55,732","59,656",27,7.9,7.0,80,IA
Clinton,"45,194","48,420","52,308",71,7.1,8.0,66,IA
Crawford,"43,143","45,659","51,690",75,5.8,13.2,23,IA
Dallas,"67,860","70,341","73,673",1,3.7,4.7,98,IA
Davis,"39,716","41,318","44,337",98,4.0,7.3,75,IA
Decatur,"35,998","38,817","42,171",99,7.8,8.6,62,IA
Delaware,"49,412","52,538","57,097",48,6.3,8.7,61,IA
Des Moines,"50,450","53,254","56,425",56,5.6,6.0,88,IA
Dickinson,"61,429","63,560","69,628",2,3.5,9.5,48,IA
Dubuque,"50,370","53,684","56,782",53,6.6,5.8,90,IA
Emmet,"44,863","45,761","51,890",74,2.0,13.4,22,IA
Fayette,"44,047","47,074","51,226",79,6.9,8.8,59,IA
Floyd,"47,223","49,861","56,044",57,5.6,12.4,30,IA
Franklin,"47,999","50,950","59,466",29,6.1,16.7,3,IA
Fremont,"49,423","53,171","59,090",32,7.6,11.1,35,IA
Greene,"48,302","52,189","58,799",34,8.0,12.7,26,IA
Grundy,"51,873","55,698","62,531",14,7.4,12.3,31,IA
Guthrie,"52,384","57,366","63,098",11,9.5,10.0,42,IA
Hamilton,"51,007","50,276","58,126",37,-1.4,15.6,11,IA
Hancock,"51,271","52,914","61,201",22,3.2,15.7,10,IA
Hardin,"48,055","49,955","56,678",54,4.0,13.5,21,IA
Harrison,"46,305","48,857","55,468",59,5.5,13.5,20,IA
Henry,"42,438","45,033","49,117",87,6.1,9.1,53,IA
Howard,"47,764","51,067","58,411",35,6.9,14.4,15,IA
Humboldt,"49,608","51,870","56,985",50,4.6,9.9,45,IA
Ida,"51,541","57,586","65,824",4,11.7,14.3,16,IA
Iowa,"53,104","56,741","62,485",15,6.8,10.1,41,IA
Jackson,"45,647","49,345","53,777",67,8.1,9.0,55,IA
Jasper,"43,206","46,341","50,190",85,7.3,8.3,65,IA
Jefferson,"47,875","50,955","55,900",58,6.4,9.7,46,IA
Johnson,"54,734","57,009","59,592",28,4.2,4.5,99,IA
Jones,"45,074","48,104","51,576",76,6.7,7.2,76,IA
Keokuk,"45,012","48,468","52,878",69,7.7,9.1,52,IA
Kossuth,"50,626","52,736","60,595",24,4.2,14.9,14,IA
Lee,"42,384","45,316","48,394",90,6.9,6.8,84,IA
Linn,"53,212","56,373","59,294",30,5.9,5.2,95,IA
Louisa,"43,840","45,420","50,885",80,3.6,12.0,32,IA
Lucas,"41,923","44,451","47,774",93,6.0,7.5,73,IA
Lyon,"56,964","56,596","61,551",20,-0.6,8.8,60,IA
Madison,"50,472","53,555","57,263",46,6.1,6.9,82,IA
Mahaska,"43,318","45,828","49,933",86,5.8,9.0,56,IA
Marion,"50,249","53,316","56,989",49,6.1,6.9,83,IA
Marshall,"43,213","47,059","50,776",82,8.9,7.9,68,IA
Mills,"59,887","61,481","66,042",3,2.7,7.4,74,IA
Mitchell,"63,627","58,720","63,605",8,-7.7,8.3,64,IA
Monona,"46,043","49,494","57,720",40,7.5,16.6,4,IA
Monroe,"46,202","49,319","52,821",70,6.7,7.1,78,IA
Montgomery,"41,310","44,375","48,436",89,7.4,9.2,51,IA
Muscatine,"48,011","50,326","53,861",65,4.8,7.0,81,IA
O'Brien,"53,495","55,875","61,882",17,4.4,10.8,37,IA
Osceola,"48,717","48,976","55,063",60,0.5,12.4,28,IA
Page,"42,502","47,231","52,069",72,11.1,10.2,39,IA
Palo Alto,"51,403","49,216","56,973",51,-4.3,15.8,9,IA
Plymouth,"55,352","56,761","63,214",9,2.5,11.4,33,IA
Pocahontas,"51,094","49,941","57,640",41,-2.3,15.4,13,IA
Polk,"54,144","57,947","60,799",23,7.0,4.9,97,IA
Pottawattamie,"45,147","47,935","51,370",77,6.2,7.2,77,IA
Poweshiek,"45,330","49,442","53,996",64,9.1,9.2,50,IA
Ringgold,"48,483","51,565","57,317",44,6.4,11.2,34,IA
Sac,"57,210","56,444","65,620",5,-1.3,16.3,5,IA
Scott,"54,281","57,360","60,349",25,5.7,5.2,93,IA
Shelby,"51,643","54,408","61,414",21,5.4,12.9,25,IA
Sioux,"52,420","54,716","57,558",43,4.4,5.2,94,IA
Story,"43,682","45,618","47,923",92,4.4,5.1,96,IA
Tama,"45,708","51,211","58,311",36,12.0,13.9,18,IA
Taylor,"43,591","46,861","54,870",62,7.5,17.1,2,IA
Union,"41,442","43,838","48,291",91,5.8,10.2,40,IA
Van Buren,"40,622","42,312","47,655",94,4.2,12.6,27,IA
Wapello,"39,029","42,551","44,912",97,9.0,5.5,91,IA
Warren,"52,136","54,617","57,847",39,4.8,5.9,89,IA
Washington,"60,809","59,627","65,299",6,-1.9,9.5,49,IA
Wayne,"42,092","45,248","50,859",81,7.5,12.4,29,IA
Webster,"45,717","47,734","51,331",78,4.4,7.5,72,IA
Winnebago,"41,580","44,867","50,769",83,7.9,13.2,24,IA
Winneshiek,"50,096","54,556","58,872",33,8.9,7.9,67,IA
Woodbury,"43,943","46,975","50,607",84,6.9,7.7,70,IA
Worth,"41,759","45,956","53,342",68,10.1,16.1,8,IA
Wright,"47,573","48,666","56,543",55,2.3,16.2,7,IA
,,,,,,,,
Kansas,"52,876","55,974","58,924",--,5.9,5.3,--,KS
Allen,"42,470","45,635","49,326",78,7.5,8.1,27,KS
Anderson,"39,916","45,567","52,810",54,14.2,15.9,2,KS
Atchison,"38,631","42,396","44,710",101,9.7,5.5,67,KS
Barber,"44,905","51,763","56,193",44,15.3,8.6,21,KS
Barton,"49,043","51,237","53,532",50,4.5,4.5,79,KS
Bourbon,"41,958","45,653","47,885",89,8.8,4.9,75,KS
Brown,"45,399","48,769","51,906",60,7.4,6.4,48,KS
Butler,"47,729","49,703","51,643",63,4.1,3.9,86,KS
Chase,"53,672","63,086","64,717",18,17.5,2.6,96,KS
Chautauqua,"39,345","42,504","45,394",98,8.0,6.8,45,KS
Cherokee,"42,630","48,048","51,492",65,12.7,7.2,36,KS
Cheyenne,"45,782","56,260","65,154",15,22.9,15.8,3,KS
Clark,"53,878","58,136","59,045",30,7.9,1.6,99,KS
Clay,"43,108","47,886","50,592",68,11.1,5.7,64,KS
Cloud,"38,962","44,057","47,195",94,13.1,7.1,38,KS
Coffey,"51,433","56,637","58,867",31,10.1,3.9,85,KS
Comanche,"41,773","48,194","54,928",46,15.4,14.0,5,KS
Cowley,"39,547","42,623","44,888",100,7.8,5.3,69,KS
Crawford,"39,049","42,668","45,046",99,9.3,5.6,65,KS
Decatur,"44,564","54,249","58,270",35,21.7,7.4,31,KS
Dickinson,"42,596","46,708","49,255",79,9.7,5.5,68,KS
Doniphan,"42,529","46,313","48,727",81,8.9,5.2,72,KS
Douglas,"46,612","49,290","51,703",62,5.7,4.9,74,KS
Edwards,"51,294","61,594","68,555",11,20.1,11.3,9,KS
Elk,"39,408","42,831","47,485",93,8.7,10.9,10,KS
Ellis,"46,980","50,491","53,348",51,7.5,5.7,63,KS
Ellsworth,"43,841","45,169","47,749",91,3.0,5.7,61,KS
Finney,"41,216","44,599","47,523",92,8.2,6.6,46,KS
Ford,"38,753","43,865","47,052",95,13.2,7.3,33,KS
Franklin,"43,532","46,307","49,652",73,6.4,7.2,34,KS
Geary,"46,393","48,695","52,135",59,5.0,7.1,41,KS
Gove,"55,480","63,850","69,011",10,15.1,8.1,28,KS
Graham,"49,894","55,636","62,383",21,11.5,12.1,7,KS
Grant,"41,606","43,389","43,192",104,4.3,-0.5,104,KS
Gray,"59,155","64,323","64,859",16,8.7,0.8,103,KS
Greeley,"60,821","83,743","93,667",2,37.7,11.9,8,KS
Greenwood,"41,624","46,373","49,675",72,11.4,7.1,39,KS
Hamilton,"53,795","72,299","71,468",7,34.4,-1.1,105,KS
Harper,"51,444","57,680","61,799",23,12.1,7.1,37,KS
Harvey,"44,381","47,580","49,642",74,7.2,4.3,81,KS
Haskell,"53,293","62,329","70,901",9,17.0,13.8,6,KS
Hodgeman,"55,828","65,216","67,659",12,16.8,3.7,88,KS
Jackson,"43,615","47,644","50,620",67,9.2,6.2,53,KS
Jefferson,"46,591","49,792","52,892",53,6.9,6.2,54,KS
Jewell,"48,311","56,799","60,881",25,17.6,7.2,35,KS
Johnson,"78,728","81,020","84,535",3,2.9,4.3,80,KS
Kearny,"50,533","60,667","65,779",14,20.1,8.4,22,KS
Kingman,"43,106","48,832","52,283",58,13.3,7.1,40,KS
Kiowa,"41,216","51,912","57,085",39,26.0,10.0,14,KS
Labette,"42,606","46,796","49,538",75,9.8,5.9,58,KS
Lane,"63,880","69,724","75,517",5,9.1,8.3,25,KS
Leavenworth,"44,445","46,742","49,330",77,5.2,5.5,66,KS
Lincoln,"46,040","54,756","56,308",42,18.9,2.8,94,KS
Linn,"41,329","45,515","48,383",84,10.1,6.3,50,KS
Logan,"48,342","58,592","63,461",19,21.2,8.3,24,KS
Lyon,"39,896","44,157","46,177",97,10.7,4.6,78,KS
McPherson,"52,871","55,947","57,951",37,5.8,3.6,91,KS
Marion,"42,134","46,843","49,005",80,11.2,4.6,77,KS
Marshall,"42,940","48,437","50,995",66,12.8,5.3,71,KS
Meade,"59,202","67,486","74,713",6,14.0,10.7,12,KS
Miami,"50,184","53,526","56,719",41,6.7,6.0,56,KS
Mitchell,"61,496","70,316","71,245",8,14.3,1.3,101,KS
Montgomery,"37,622","40,841","43,689",103,8.6,7.0,43,KS
Morris,"45,012","51,167","52,926",52,13.7,3.4,93,KS
Morton,"42,126","49,035","58,423",33,16.4,19.1,1,KS
Nemaha,"50,709","57,969","60,858",26,14.3,5.0,73,KS
Neosho,"40,964","44,751","47,902",87,9.2,7.0,42,KS
Ness,"54,381","60,791","66,087",13,11.8,8.7,20,KS
Norton,"41,323","48,656","51,714",61,17.7,6.3,51,KS
Osage,"42,907","47,130","50,353",70,9.8,6.8,44,KS
Osborne,"47,061","51,497","55,815",45,9.4,8.4,23,KS
Ottawa,"41,724","46,244","50,373",69,10.8,8.9,17,KS
Pawnee,"42,043","45,468","48,441",83,8.1,6.5,47,KS
Phillips,"54,479","59,484","64,720",17,9.2,8.8,18,KS
Pottawatomie,"53,487","57,035","59,324",29,6.6,4.0,82,KS
Pratt,"48,718","53,421","58,092",36,9.7,8.7,19,KS
Rawlins,"56,351","69,786","80,389",4,23.8,15.2,4,KS
Reno,"41,805","45,089","47,918",86,7.9,6.3,52,KS
Republic,"42,880","47,678","49,342",76,11.2,3.5,92,KS
Rice,"43,831","46,852","47,894",88,6.9,2.2,97,KS
Riley,"43,570","46,108","47,764",90,5.8,3.6,90,KS
Rooks,"39,050","45,289","49,795",71,16.0,9.9,15,KS
Rush,"51,318","59,414","62,819",20,15.8,5.7,60,KS
Russell,"46,055","49,781","53,679",49,8.1,7.8,29,KS
Saline,"51,219","53,147","56,258",43,3.8,5.9,59,KS
Scott,"52,615","58,451","60,794",27,11.1,4.0,83,KS
Sedgwick,"53,263","55,122","57,713",38,3.5,4.7,76,KS
Seward,"37,214","41,839","44,209",102,12.4,5.7,62,KS
Shawnee,"47,495","51,008","54,066",48,7.4,6.0,55,KS
Sheridan,"46,978","56,134","56,735",40,19.5,1.1,102,KS
Sherman,"41,364","48,809","52,785",55,18.0,8.1,26,KS
Smith,"46,726","56,231","58,450",32,20.3,3.9,84,KS
Stafford,"46,008","49,991","52,643",56,8.7,5.3,70,KS
Stanton,"69,728","85,360","94,353",1,22.4,10.5,13,KS
Stevens,"44,013","50,989","52,345",57,15.8,2.7,95,KS
Sumner,"41,457","45,362","48,658",82,9.4,7.3,32,KS
Thomas,"47,126","50,599","51,579",64,7.4,1.9,98,KS
Trego,"48,789","56,758","61,938",22,16.3,9.1,16,KS
Wabaunsee,"51,977","55,142","58,400",34,6.1,5.9,57,KS
Wallace,"51,437","59,431","61,727",24,15.5,3.9,87,KS
Washington,"45,422","52,942","54,905",47,16.6,3.7,89,KS
Wichita,"60,081","58,891","59,792",28,-2.0,1.5,100,KS
Wilson,"41,246","45,110","47,962",85,9.4,6.3,49,KS
Woodson,"38,265","42,420","47,014",96,10.9,10.8,11,KS
Wyandotte,"33,693","36,422","39,143",105,8.1,7.5,30,KS
,,,,,,,,
Kentucky,"43,875","47,525","51,266",--,8.3,7.9,--,KY
Adair,"33,442","37,409","41,385",85,11.9,10.6,35,KY
Allen,"34,703","37,077","40,682",97,6.8,9.7,49,KY
Anderson,"39,315","42,309","45,331",49,7.6,7.1,97,KY
Ballard,"41,576","45,690","50,888",20,9.9,11.4,28,KY
Barren,"37,317","40,241","43,678",67,7.8,8.5,75,KY
Bath,"30,954","34,299","37,710",115,10.8,9.9,43,KY
Bell,"32,028","37,095","41,763",79,15.8,12.6,18,KY
Boone,"50,245","53,445","56,759",7,6.4,6.2,115,KY
Bourbon,"49,887","51,145","55,087",10,2.5,7.7,85,KY
Boyd,"39,064","42,757","46,039",43,9.5,7.7,86,KY
Boyle,"39,831","43,226","46,181",42,8.5,6.8,104,KY
Bracken,"37,799","41,421","44,913",55,9.6,8.4,76,KY
Breathitt,"31,692","35,222","39,754",104,11.1,12.9,17,KY
Breckinridge,"35,521","39,121","42,724",73,10.1,9.2,55,KY
Bullitt,"43,527","46,834","50,169",22,7.6,7.1,98,KY
Butler,"35,840","39,306","43,937",62,9.7,11.8,25,KY
Caldwell,"35,646","40,176","44,963",54,12.7,11.9,24,KY
Calloway,"38,546","42,036","44,116",59,9.1,4.9,119,KY
Campbell,"51,621","55,115","58,701",6,6.8,6.5,110,KY
Carlisle,"43,968","46,005","52,638",14,4.6,14.4,7,KY
Carroll,"37,994","41,578","45,317",50,9.4,9.0,63,KY
Carter,"31,838","36,134","39,323",106,13.5,8.8,68,KY
Casey,"32,161","36,825","40,837",96,14.5,10.9,31,KY
Christian,"38,150","41,809","45,643",47,9.6,9.2,58,KY
Clark,"40,588","44,012","47,411",34,8.4,7.7,84,KY
Clay,"29,956","34,389","39,099",108,14.8,13.7,11,KY
Clinton,"34,470","39,474","44,613",56,14.5,13.0,14,KY
Crittenden,"36,023","39,704","43,616",68,10.2,9.9,44,KY
Cumberland,"39,701","46,156","51,001",19,16.3,10.5,37,KY
Daviess,"42,708","46,394","50,079",23,8.6,7.9,83,KY
Edmonson,"34,947","37,853","41,099",91,8.3,8.6,72,KY
Elliott,"23,319","27,154","29,572",120,16.4,8.9,66,KY
Estill,"32,896","36,458","40,235",101,10.8,10.4,39,KY
Fayette,"52,888","56,482","59,987",4,6.8,6.2,114,KY
Fleming,"34,269","38,609","41,490",83,12.7,7.5,90,KY
Floyd,"36,589","39,909","44,198",57,9.1,10.7,33,KY
Franklin,"43,203","46,755","49,985",24,8.2,6.9,102,KY
Fulton,"32,318","35,844","41,650",82,10.9,16.2,3,KY
Gallatin,"34,869","38,764","42,255",77,11.2,9.0,62,KY
Garrard,"36,992","40,329","43,418",69,9.0,7.7,88,KY
Grant,"38,185","41,934","45,039",53,9.8,7.4,91,KY
Graves,"39,257","42,632","47,933",30,8.6,12.4,20,KY
Grayson,"35,283","39,577","42,043",78,12.2,6.2,113,KY
Green,"35,209","39,385","42,768",72,11.9,8.6,71,KY
Greenup,"40,705","44,283","47,675",33,8.8,7.7,87,KY
Hancock,"39,821","42,781","46,528",41,7.4,8.8,69,KY
Hardin,"44,708","48,193","51,525",17,7.8,6.9,101,KY
Harlan,"30,406","34,304","39,123",107,12.8,14.0,9,KY
Harrison,"37,622","41,120","43,811",66,9.3,6.5,108,KY
Hart,"34,111","36,774","40,257",100,7.8,9.5,52,KY
Henderson,"41,157","45,247","49,580",25,9.9,9.6,51,KY
Henry,"41,062","44,800","48,943",27,9.1,9.2,54,KY
Hickman,"41,845","42,155","54,685",12,0.7,29.7,1,KY
Hopkins,"40,078","42,536","46,673",39,6.1,9.7,48,KY
Jackson,"30,843","34,343","38,055",112,11.3,10.8,32,KY
Jefferson,"53,360","57,290","61,474",3,7.4,7.3,95,KY
Jessamine,"48,173","51,543","55,040",11,7.0,6.8,105,KY
Johnson,"33,813","37,208","41,110",90,10.0,10.5,38,KY
Kenton,"58,804","63,533","67,808",2,8.0,6.7,106,KY
Knott,"32,172","36,448","41,185",88,13.3,13.0,15,KY
Knox,"30,709","35,312","39,901",103,15.0,13.0,16,KY
Larue,"37,766","41,291","45,069",52,9.3,9.1,59,KY
Laurel,"33,602","37,362","41,037",92,11.2,9.8,45,KY
Lawrence,"31,541","34,590","38,139",111,9.7,10.3,41,KY
Lee,"28,856","32,876","36,847",116,13.9,12.1,23,KY
Leslie,"31,744","35,932","40,852",95,13.2,13.7,12,KY
Letcher,"31,543","35,818","40,315",99,13.6,12.6,19,KY
Lewis,"32,115","36,513","40,075",102,13.7,9.8,46,KY
Lincoln,"33,872","37,441","40,880",94,10.5,9.2,56,KY
Livingston,"39,641","44,169","47,052",35,11.4,6.5,109,KY
Logan,"37,418","40,765","45,732",45,8.9,12.2,22,KY
Lyon,"35,856","39,460","41,762",80,10.1,5.8,117,KY
McCracken,"47,619","52,296","56,089",8,9.8,7.3,96,KY
McCreary,"26,951","31,370","35,811",118,16.4,14.2,8,KY
McLean,"39,711","41,707","50,679",21,5.0,21.5,2,KY
Madison,"36,997","40,275","42,808",71,8.9,6.3,112,KY
Magoffin,"34,157","39,470","43,913",63,15.6,11.3,29,KY
Marion,"37,396","40,610","43,909",64,8.6,8.1,78,KY
Marshall,"42,695","46,261","48,292",29,8.4,4.4,120,KY
Martin,"28,512","32,984","35,932",117,15.7,8.9,65,KY
Mason,"40,268","44,145","47,927",31,9.6,8.6,73,KY
Meade,"39,859","43,040","46,893",38,8.0,9.0,64,KY
Menifee,"33,644","37,592","41,028",93,11.7,9.1,60,KY
Mercer,"37,023","39,945","43,163",70,7.9,8.1,81,KY
Metcalfe,"31,241","34,628","38,284",110,10.8,10.6,36,KY
Monroe,"35,242","39,461","44,045",61,12.0,11.6,26,KY
Montgomery,"36,140","39,770","42,710",74,10.0,7.4,92,KY
Morgan,"27,348","30,732","33,208",119,12.4,8.1,80,KY
Muhlenberg,"34,740","37,023","40,634",98,6.6,9.8,47,KY
Nelson,"44,046","47,852","51,367",18,8.6,7.3,93,KY
Nicholas,"34,420","37,934","41,414",84,10.2,9.2,57,KY
Ohio,"33,468","36,448","41,201",87,8.9,13.0,13,KY
Oldham,"66,002","68,532","73,110",1,3.8,6.7,107,KY
Owen,"33,300","36,536","39,661",105,9.7,8.6,74,KY
Owsley,"33,966","39,487","45,731",46,16.3,15.8,4,KY
Pendleton,"45,918","46,909","51,933",16,2.2,10.7,34,KY
Perry,"35,367","39,558","44,108",60,11.9,11.5,27,KY
Pike,"35,348","39,062","42,691",75,10.5,9.3,53,KY
Powell,"30,680","34,947","37,993",113,13.9,8.7,70,KY
Pulaski,"38,839","42,524","46,607",40,9.5,9.6,50,KY
Robertson,"33,465","38,772","41,155",89,15.9,6.1,116,KY
Rockcastle,"33,647","37,428","41,290",86,11.2,10.3,40,KY
Rowan,"31,789","34,847","37,769",114,9.6,8.4,77,KY
Russell,"37,957","41,673","45,383",48,9.8,8.9,67,KY
Scott,"46,155","49,207","52,325",15,6.6,6.3,111,KY
Shelby,"48,177","51,798","55,471",9,7.5,7.1,99,KY
Simpson,"37,210","40,876","44,178",58,9.9,8.1,79,KY
Spencer,"47,187","50,240","53,915",13,6.5,7.3,94,KY
Taylor,"35,200","39,022","41,752",81,10.9,7.0,100,KY
Todd,"39,044","41,776","46,946",37,7.0,12.4,21,KY
Trigg,"40,074","43,726","47,026",36,9.1,7.5,89,KY
Trimble,"40,013","43,854","47,815",32,9.6,9.0,61,KY
Union,"38,529","43,417","49,499",26,12.7,14.0,10,KY
Warren,"38,686","41,516","43,812",65,7.3,5.5,118,KY
Washington,"38,865","42,401","45,807",44,9.1,8.0,82,KY
Wayne,"30,300","34,737","38,628",109,14.6,11.2,30,KY
Webster,"39,708","41,820","48,336",28,5.3,15.6,5,KY
Whitley,"34,631","38,398","42,266",76,10.9,10.1,42,KY
Wolfe,"33,886","39,286","45,286",51,15.9,15.3,6,KY
Woodford,"53,587","56,003","59,860",5,4.5,6.9,103,KY
,,,,,,,,
Louisiana,"47,668","50,809","54,217",--,6.6,6.7,--,LA
Acadia,"39,740","43,800","45,805",43,10.2,4.6,60,LA
Allen,"38,723","41,335","42,949",56,6.7,3.9,62,LA
Ascension,"52,409","55,067","58,566",7,5.1,6.4,45,LA
Assumption,"50,156","52,452","56,352",12,4.6,7.4,30,LA
Avoyelles,"38,845","42,588","45,777",44,9.6,7.5,29,LA
Beauregard,"44,208","47,500","50,015",23,7.4,5.3,57,LA
Bienville,"39,088","42,743","46,442",41,9.4,8.7,13,LA
Bossier,"45,177","48,685","51,970",18,7.8,6.7,40,LA
Caddo,"49,516","53,120","57,420",10,7.3,8.1,16,LA
Calcasieu,"45,824","47,033","50,775",20,2.6,8.0,18,LA
Caldwell,"35,695","39,210","42,049",60,9.8,7.2,35,LA
Cameron,"57,177","58,059","63,384",2,1.5,9.2,9,LA
Catahoula,"35,868","40,839","43,386",52,13.9,6.2,50,LA
Claiborne,"37,546","40,076","43,953",51,6.7,9.7,4,LA
Concordia,"34,181","39,748","43,299",53,16.3,8.9,11,LA
De Soto,"44,449","47,201","51,447",19,6.2,9.0,10,LA
East Baton Rouge,"51,846","55,983","59,352",5,8.0,6.0,53,LA
East Carroll,"31,647","36,557","39,981",62,15.5,9.4,6,LA
East Feliciana,"41,686","44,155","47,562",33,5.9,7.7,25,LA
Evangeline,"34,441","39,226","42,109",59,13.9,7.3,33,LA
Franklin,"33,029","37,627","40,589",61,13.9,7.9,21,LA
Grant,"32,122","35,264","37,764",63,9.8,7.1,37,LA
Iberia,"40,679","43,961","47,594",32,8.1,8.3,15,LA
Iberville,"45,244","49,075","52,930",17,8.5,7.9,22,LA
Jackson,"35,609","39,074","43,272",54,9.7,10.7,1,LA
Jefferson,"51,166","54,927","58,284",8,7.4,6.1,52,LA
Jefferson Davis,"42,421","45,304","46,922",37,6.8,3.6,64,LA
Lafayette,"50,776","54,881","57,674",9,8.1,5.1,58,LA
Lafourche,"45,735","47,063","49,614",26,2.9,5.4,56,LA
LaSalle,"34,187","36,200","37,546",64,5.9,3.7,63,LA
Lincoln,"39,954","42,437","45,588",46,6.2,7.4,31,LA
Livingston,"43,706","45,974","48,854",31,5.2,6.3,49,LA
Madison,"34,545","41,229","44,828",50,19.3,8.7,12,LA
Morehouse,"37,252","41,664","44,860",49,11.8,7.7,27,LA
Natchitoches,"41,188","43,373","46,579",39,5.3,7.4,32,LA
Orleans,"54,357","58,233","62,249",3,7.1,6.9,39,LA
Ouachita,"40,088","43,726","46,804",38,9.1,7.0,38,LA
Plaquemines,"47,781","51,841","55,108",13,8.5,6.3,46,LA
Pointe Coupee,"50,714","54,571","58,807",6,7.6,7.8,23,LA
Rapides,"46,088","50,556","54,153",16,9.7,7.1,36,LA
Red River,"46,244","50,003","54,964",14,8.1,9.9,3,LA
Richland,"38,869","42,971","45,736",45,10.6,6.4,43,LA
Sabine,"38,645","41,254","45,105",48,6.8,9.3,7,LA
St. Bernard,"36,192","39,448","42,310",57,9.0,7.3,34,LA
St. Charles,"50,312","53,773","56,921",11,6.9,5.9,54,LA
St. Helena,"42,128","46,176","50,554",22,9.6,9.5,5,LA
St. James,"54,886","57,847","61,471",4,5.4,6.3,48,LA
St. John the Baptist,"41,980","45,407","49,045",29,8.2,8.0,17,LA
St. Landry,"41,829","45,734","49,358",28,9.3,7.9,19,LA
St. Martin,"39,827","43,012","46,248",42,8.0,7.5,28,LA
St. Mary,"41,049","45,507","49,034",30,10.9,7.8,24,LA
St. Tammany,"69,471","66,999","71,361",1,-3.6,6.5,41,LA
Tangipahoa,"40,912","44,234","47,076",35,8.1,6.4,44,LA
Tensas,"41,300","46,399","50,669",21,12.3,9.2,8,LA
Terrebonne,"43,385","46,751","49,612",27,7.8,6.1,51,LA
Union,"42,278","45,030","49,647",25,6.5,10.3,2,LA
Vermilion,"41,032","43,670","46,494",40,6.4,6.5,42,LA
Vernon,"41,732","44,514","47,307",34,6.7,6.3,47,LA
Washington,"35,745","38,878","42,225",58,8.8,8.6,14,LA
Webster,"42,116","46,378","49,944",24,10.1,7.7,26,LA
West Baton Rouge,"48,301","51,864","54,404",15,7.4,4.9,59,LA
West Carroll,"34,982","41,431","43,241",55,18.4,4.4,61,LA
West Feliciana,"40,309","42,753","45,199",47,6.1,5.7,55,LA
Winn,"39,040","43,630","47,071",36,11.8,7.9,20,LA
,,,,,,,,
Maine,"50,728","54,912","58,484",--,8.2,6.5,--,ME
Androscoggin,"42,075","46,144","49,766",11,9.7,7.8,1,ME
Aroostook,"42,725","47,070","49,883",10,10.2,6.0,13,ME
Cumberland,"64,975","69,624","73,972",1,7.2,6.2,9,ME
Franklin,"40,801","44,219","47,206",14,8.4,6.8,5,ME
Hancock,"53,152","56,977","60,105",3,7.2,5.5,14,ME
Kennebec,"46,421","50,530","53,658",7,8.9,6.2,10,ME
Knox,"53,097","56,532","59,420",6,6.5,5.1,15,ME
Lincoln,"52,586","55,972","59,613",5,6.4,6.5,7,ME
Oxford,"39,353","42,694","45,332",16,8.5,6.2,11,ME
Penobscot,"43,086","47,574","50,480",9,10.4,6.1,12,ME
Piscataquis,"40,332","45,711","48,987",13,13.3,7.2,4,ME
Sagadahoc,"52,027","56,312","59,843",4,8.2,6.3,8,ME
Somerset,"39,371","43,610","46,860",15,10.8,7.5,2,ME
Waldo,"44,788","48,538","51,757",8,8.4,6.6,6,ME
Washington,"42,051","46,891","49,280",12,11.5,5.1,16,ME
York,"54,335","58,085","62,355",2,6.9,7.4,3,ME
,,,,,,,,
Maryland,"62,313","65,685","69,817",--,5.4,6.3,--,MD
Allegany,"41,720","45,070","47,347",22,8.0,5.1,24,MD
Anne Arundel,"68,225","72,003","76,059",4,5.5,5.6,20,MD
Baltimore,"61,459","65,502","69,561",7,6.6,6.2,12,MD
Calvert,"63,780","66,872","70,690",6,4.8,5.7,19,MD
Caroline,"46,197","48,287","53,549",19,4.5,10.9,2,MD
Carroll,"62,251","65,635","69,397",8,5.4,5.7,18,MD
Cecil,"49,070","51,681","55,293",16,5.3,7.0,7,MD
Charles,"56,518","60,334","63,939",13,6.8,6.0,16,MD
Dorchester,"46,221","49,363","54,075",18,6.8,9.5,3,MD
Frederick,"62,317","65,338","68,704",9,4.8,5.2,23,MD
Garrett,"46,295","49,772","53,008",20,7.5,6.5,10,MD
Harford,"59,333","62,868","66,633",11,6.0,6.0,14,MD
Howard,"78,013","82,041","86,380",2,5.2,5.3,22,MD
Kent,"59,791","63,494","67,648",10,6.2,6.5,9,MD
Montgomery,"86,039","87,507","92,740",1,1.7,6.0,15,MD
Prince George's,"47,269","51,300","54,916",17,8.5,7.0,6,MD
Queen Anne's,"68,447","71,470","75,811",5,4.4,6.1,13,MD
St. Mary's,"58,853","61,874","65,762",12,5.1,6.3,11,MD
Somerset,"31,463","33,037","37,395",24,5.0,13.2,1,MD
Talbot,"75,466","80,052","84,695",3,6.1,5.8,17,MD
Washington,"46,141","49,510","52,897",21,7.3,6.8,8,MD
Wicomico,"40,580","43,648","46,893",23,7.6,7.4,5,MD
