"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Cross,"35,961","40,423","42,009",41,12.4,3.9,72,AR
Dallas,"39,012","42,465","46,261",18,8.9,8.9,33,AR
Desha,"38,458","45,111","48,464",9,17.3,7.4,47,AR
Drew,"38,788","42,476","45,391",24,9.5,6.9,52,AR
Faulkner,"40,546","43,322","45,841",20,6.8,5.8,64,AR
Franklin,"33,810","35,248","40,591",55,4.3,15.2,10,AR
Fulton,"29,034","32,621","34,900",73,12.4,7.0,50,AR
Garland,"41,510","44,472","46,897",13,7.1,5.5,68,AR
Grant,"40,384","43,237","46,161",19,7.1,6.8,53,AR
Greene,"35,811","39,258","41,633",44,9.6,6.0,60,AR
Hempstead,"33,624","35,784","41,269",47,6.4,15.3,9,AR
Hot Spring,"32,211","34,907","37,474",65,8.4,7.4,48,AR
Howard,"34,864","35,669","42,224",38,2.3,18.4,1,AR
Independence,"36,060","38,631","42,120",39,7.1,9.0,32,AR
Izard,"30,885","33,061","34,986",72,7.0,5.8,63,AR
Jackson,"37,858","42,541","42,871",31,12.4,0.8,75,AR
Jefferson,"34,843","38,571","42,076",40,10.7,9.1,30,AR
Johnson,"29,625","31,779","35,577",71,7.3,12.0,16,AR
Lafayette,"37,184","40,154","47,355",12,8.0,17.9,3,AR
Lawrence,"34,286","39,170","40,161",57,14.2,2.5,74,AR
Lee,"30,106","34,169","37,128",66,13.5,8.7,34,AR
Lincoln,"27,391","29,548","33,387",75,7.9,13.0,12,AR
Little River,"34,511","37,360","40,794",52,8.3,9.2,28,AR
Logan,"33,216","35,348","39,622",58,6.4,12.1,15,AR
Lonoke,"40,743","43,681","46,388",17,7.2,6.2,57,AR
Madison,"34,040","34,782","40,884",50,2.2,17.5,4,AR
Marion,"31,484","33,925","36,684",70,7.8,8.1,37,AR
Miller,"35,023","37,832","40,319",56,8.0,6.6,55,AR
Mississippi,"35,086","38,264","42,273",37,9.1,10.5,21,AR
Monroe,"33,835","40,187","41,783",42,18.8,4.0,71,AR
Montgomery,"31,575","34,374","37,039",67,8.9,7.8,43,AR
Nevada,"33,332","35,106","39,041",60,5.3,11.2,18,AR
Newton,"32,564","35,371","38,629",63,8.6,9.2,27,AR
Ouachita,"39,340","42,742","46,428",15,8.6,8.6,35,AR
Perry,"37,206","39,715","43,793",28,6.7,10.3,22,AR
Phillips,"35,443","41,005","45,497",21,15.7,11.0,19,AR
Pike,"33,089","34,971","40,806",51,5.7,16.7,6,AR
Poinsett,"34,645","38,591","41,551",45,11.4,7.7,44,AR
Polk,"31,293","33,816","38,178",64,8.1,12.9,13,AR
Pope,"36,057","37,465","40,937",49,3.9,9.3,26,AR
Prairie,"35,328","42,026","43,835",27,19.0,4.3,70,AR
Pulaski,"52,047","55,423","58,583",2,6.5,5.7,65,AR
Randolph,"33,346","36,205","39,491",59,8.6,9.1,31,AR
St. Francis,"30,215","33,394","36,761",69,10.5,10.1,23,AR
Saline,"43,696","46,269","49,031",7,5.9,6.0,61,AR
Scott,"32,039","33,703","38,790",61,5.2,15.1,11,AR
Searcy,"28,574","31,731","34,335",74,11.0,8.2,36,AR
Sebastian,"43,368","45,505","48,556",8,4.9,6.7,54,AR
Sevier,"33,325","35,030","41,322",46,5.1,18.0,2,AR
Sharp,"34,817","36,583","41,025",48,5.1,12.1,14,AR
Stone,"31,554","33,395","37,002",68,5.8,10.8,20,AR
Union,"45,295","47,422","50,787",4,4.7,7.1,49,AR
Van Buren,"32,935","35,870","38,783",62,8.9,8.1,38,AR
Washington,"41,081","44,261","47,836",10,7.7,8.1,40,AR
White,"37,253","39,958","42,743",34,7.3,7.0,51,AR
Woodruff,"38,049","46,730","49,050",6,22.8,5.0,69,AR
Yell,"34,694","35,573","41,750",43,2.5,17.4,5,AR
,,,,,,,,
California,"64,919","70,647","76,614",--,8.8,8.4,--,CA
Alameda,"80,623","88,841","99,746",5,10.2,12.3,4,CA
Alpine,"80,225","75,220","72,734",16,-6.2,-3.3,58,CA
Amador,"44,121","47,790","49,752",44,8.3,4.1,50,CA
Butte,"46,174","51,402","54,694",33,11.3,6.4,28,CA
Calaveras,"50,310","55,355","57,726",29,10.0,4.3,49,CA
Colusa,"45,180","55,498","54,511",34,22.8,-1.8,57,CA
Contra Costa,"81,782","88,910","99,312",6,8.7,11.7,7,CA
Del Norte,"36,860","41,309","43,951",55,12.1,6.4,29,CA
El Dorado,"69,408","74,679","78,525",11,7.6,5.2,42,CA
Fresno,"42,987","48,312","51,422",41,12.4,6.4,27,CA
Glenn,"43,581","49,454","50,626",43,13.5,2.4,56,CA
Humboldt,"46,285","50,693","53,607",36,9.5,5.7,36,CA
Imperial,"37,904","45,021","47,653",49,18.8,5.8,32,CA
Inyo,"58,351","60,124","62,090",25,3.0,3.3,55,CA
Kern,"39,477","44,063","45,961",53,11.6,4.3,47,CA
Kings,"36,599","41,397","43,176",56,13.1,4.3,48,CA
Lake,"40,457","44,403","46,918",51,9.8,5.7,37,CA
Lassen,"33,092","37,634","39,394",57,13.7,4.7,45,CA
Los Angeles,"63,252","68,541","74,141",13,8.4,8.2,14,CA
Madera,"39,388","44,072","45,757",54,11.9,3.8,53,CA
Marin,"139,891","148,419","164,118",1,6.1,10.6,10,CA
Mariposa,"54,375","57,964","61,343",27,6.6,5.8,33,CA
Mendocino,"48,013","53,087","56,047",31,10.6,5.6,38,CA
Merced,"38,626","43,980","46,580",52,13.9,5.9,31,CA
Modoc,"46,245","52,459","54,301",35,13.4,3.5,54,CA
Mono,"55,369","61,649","64,164",23,11.3,4.1,51,CA
Monterey,"56,313","61,105","63,449",24,8.5,3.8,52,CA
Napa,"74,379","82,643","90,608",7,11.1,9.6,12,CA
Nevada,"61,358","65,652","68,973",18,7.0,5.1,43,CA
Orange,"70,539","75,737","81,034",9,7.4,7.0,18,CA
Placer,"68,351","73,261","76,849",12,7.2,4.9,44,CA
